NUMBER	ENGLISH	SEMANTIC_FIELD	CONCEPTICON_ID	CONCEPTICON_GLOSS							
471	PUMPKIN	AGRICULTURE_AND_VEGETATION	864	PUMPKIN							
472	PURPLE BANANA										
473	PUSH	MOTION	1452	PUSH							
474	PUSH AWAY										
475	PUT	SPATIAL_RELATIONS	998	PUT							
476	RAIN (PRECIPITATION)	THE_PHYSICAL_WORLD	658	RAIN (PRECIPITATION)							
477	RAINBOW	THE_PHYSICAL_WORLD	1733	RAINBOW							
478	RAT	ANIMALS	1490	RAT							
479	RED	SENSE_PERCEPTION	156	RED							
480	RED-AND-GREEN MACAW (Ara chloropterus)	ANIMALS	3938	RED-AND-GREEN MACAW (Ara chloropterus)							
481	RESIN	THE_PHYSICAL_WORLD	664	RESIN							
482	RESULT	BASIC_ACTIONS_AND_TECHNOLOGY	3969	RESULT							
483	RIPE	FOOD_AND_DRINK	178	RIPE							
484	RIVER	THE_PHYSICAL_WORLD	666	RIVER							
