ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	ALIGNMENT	COGID	COGIDS	MORPHEMES	COGNACY	BORROWING	NOTE	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	TURCHINID	EDITID	SCAID	INFOMAP	LEXSTATID	COGNATES
1816	Paumari	FLOWER	moβa	moβa	m o β a	m o β a	136	136	FLOWER				4 7 3 7	AXBZ	MUBA	7	7.M.C 7.U.V 7.B.C 7.A.V	2.0 1.5 1.75 0.8	moβa	0	608	565	501	319	537	501
1976	Sorowaha	FLOWER	mawa	mawa	m a w a	m a w a	136	136	FLOWER				4 7 6 7	AXBZ	MAWA	8	8.M.C 8.A.V 8.W.C 8.A.V	2.0 1.5 1.75 0.8	mawa	0	603	565	501	319	537	501
10219	Deni	FLOWER	karabuni	karabuni	k a r a b u n i	k a r a b u n i	797	755	FLOWER				1 7 5 7 1 7 4 7	AXBYBYBZ	KARAPYNI	3	3.K.C 3.A.V 3.R.C 3.A.V 3.P.C 3.Y.V 3.N.C 3.I.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	karabuni	0	604	566	502	320	538	502
1986	Sorowaha	FLY	bihʲawa	bihʲawa	b i hʲ a w a	b i hʲ a w a	1258	1258	FLY				1 7 3 7 6 7	AXBYBZ	PIHAWA	8	8.P.C 8.I.V 8.H.C 8.A.V 8.W.C 8.A.V	2.0 1.5 1.75 1.3 1.75 0.8	bihʲawa	0	609	567	503	321	539	503
584	Deni	FLY (INSECT)	khorora	khorora	kʰ o r o r a	kʰ o r o r a	124	629	BLOWFLY				1 7 5 7 5 7	AXBYBZ	KURURA	3	3.K.C 3.U.V 3.R.C 3.U.V 3.R.C 3.A.V	2.0 1.5 1.75 1.3 1.75 0.8	kʰorora	0	610	568	504	322	540	504
855	Jamamadi	FLY (INSECT)	korowi	korowi	k o r o w i	k o r o w i - -	124	629	BLOWFLY				1 7 5 7 6 7	AXBYBZ	KURUWI	4	4.K.C 4.U.V 4.R.C 4.U.V 4.W.C 4.I.V	2.0 1.5 1.75 1.3 1.75 0.8	korowi	0	610	568	504	322	540	504
1215	Jarawara	FLY (INSECT)	korowiri	korowiri	k o r o w i r i	k o r o w i r i	124	629	BLOWFLY				1 7 5 7 6 7 5 7	AXBYBYBZ	KURUWIRI	5	5.K.C 5.U.V 5.R.C 5.U.V 5.W.C 5.I.V 5.R.C 5.I.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	korowiri	0	610	568	504	322	540	504
1970	Sorowaha	FLY (INSECT)	koɾoɾo	koɾoɾo	k o ɾ o ɾ o	k o ɾ o - - ɾ o	124	629	BLOWFLY				1 7 5 7 5 7	AXBYBZ	KURURU	8	8.K.C 8.U.V 8.R.C 8.U.V 8.R.C 8.U.V	2.0 1.5 1.75 1.3 1.75 0.8	koɾoɾo	0	610	571	504	322	540	504
966	Jarawara	FOG	hote	hote	h o t e	h o t e	1259	1259	FOG				3 7 1 7	AXBZ	HUTE	5	5.H.C 5.U.V 5.T.C 5.E.V	2.0 1.5 1.75 0.8	hote	0	612	573	506	324	542	506
10220	Paumari	FOG	maro	maro	m a r o	m a r o	798	756	FOG				4 7 5 7	AXBZ	MARU	7	7.M.C 7.A.V 7.R.C 7.U.V	2.0 1.5 1.75 0.8	maro	0	613	574	507	325	543	507
10221	Paumari	FOG	magimagi	magimagi	m a g i + m a g i	m a g i + m a g i	799	757 757	FOG FOG				4 7 1 7 9 4 7 1 7	AXBZ_AXBZ	MAKI_MAKI	7	7.M.C 7.A.V 7.K.C 7.I.V 7._._ 7.M.C 7.A.V 7.K.C 7.I.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	magi+magi	0	614	575	508	326	544	508
10222	Deni	FOG	aʃivani	aʃivani	a ʃ i v a n i	a ʃ i v a n i	800	740	SMOKE				7 3 7 3 7 4 7	XBYBYBZ	ASIBANI	3	3.A.V 3.S.C 3.I.V 3.B.C 3.A.V 3.N.C 3.I.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8	aʃivani	1	611	572	505	323	541	505
67	Banawa	FOOD	jamata / taɸe	jamata	j a m a t a	j a m a t a - -	255	255	FOOD				6 7 4 7 1 7	AXBYBZ	JAMATA	2	2.J.C 2.A.V 2.M.C 2.A.V 2.T.C 2.A.V	2.0 1.5 1.75 1.3 1.75 0.8	jamata	0	615	576	509	327	545	509
671	Jamamadi	FOOD	jamata / taɸe	jamata	j a m a t a	j a m a t a - -	255	255	FOOD				6 7 4 7 1 7	AXBYBZ	JAMATA	4	4.J.C 4.A.V 4.M.C 4.A.V 4.T.C 4.A.V	2.0 1.5 1.75 1.3 1.75 0.8	jamata	0	615	576	509	327	545	509
967	Jarawara	FOOD	jamata / taɸe	jamata	j a m a t a	j a m a t a - -	255	255	FOOD				6 7 4 7 1 7	AXBYBZ	JAMATA	5	5.J.C 5.A.V 5.M.C 5.A.V 5.T.C 5.A.V	2.0 1.5 1.75 1.3 1.75 0.8	jamata	0	615	576	509	327	545	509
1326	Kulina	FOOD	jamatapa / tapaɾi	jamatapa	j a m a t a p a	j a m a t a p a	255	255	FOOD				6 7 4 7 1 7 1 7	AXBYBYBZ	JAMATAPA	6	6.J.C 6.A.V 6.M.C 6.A.V 6.T.C 6.A.V 6.P.C 6.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	jamatapa	0	615	576	509	327	545	509
2003	Sorowaha	FOOD	aha	aha	a h a	- a h a - -	185	185	FOOD				7 3 7	XBZ	AHA	8	8.A.V 8.H.C 8.A.V	1.5 1.75 0.8	aha	0	619	580	513	328	549	513
8014	Banawa	FOOD	jamata / taɸe	taɸe	t a ɸ e	t a ɸ e - -	185	185	FOOD				1 7 3 7	AXBZ	TABE	2	2.T.C 2.A.V 2.B.C 2.E.V	2.0 1.5 1.75 0.8	taɸe	0	620	581	514	329	550	514
8015	Jamamadi	FOOD	jamata / taɸe	taɸe	t a ɸ e	t a ɸ e - -	185	185	FOOD				1 7 3 7	AXBZ	TABE	4	4.T.C 4.A.V 4.B.C 4.E.V	2.0 1.5 1.75 0.8	taɸe	0	620	581	514	329	550	514
8016	Jarawara	FOOD	jamata / taɸe	taɸe	t a ɸ e	t a ɸ e - -	185	185	FOOD				1 7 3 7	AXBZ	TABE	5	5.T.C 5.A.V 5.B.C 5.E.V	2.0 1.5 1.75 0.8	taɸe	0	620	581	514	329	550	514
8017	Kulina	FOOD	jamatapa / tapaɾi	tapaɾi	t a p a ɾ i	t a p a ɾ i	185	185	FOOD				1 7 1 7 5 7	AXBYBZ	TAPARI	6	6.T.C 6.A.V 6.P.C 6.A.V 6.R.C 6.I.V	2.0 1.5 1.75 1.3 1.75 0.8	tapaɾi	0	620	584	514	329	550	514
10099	Sorowaha	FOOD	zaama hawaɾu	zaama hawaɾu	z aː m a + h a w aː ɾ u	z aː m a + h a w aː ɾ u	729	341 594	THING ?				3 7 4 7 9 3 7 6 7 5 7	AXBZ_AXBYBZ	SAMA_HAWARY	8	8.S.C 8.A.V 8.M.C 8.A.V 8._._ 8.H.C 8.A.V 8.W.C 8.A.V 8.R.C 8.Y.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 1.3 1.75 0.8	zaːma+hawaːɾu	0	624	585	518	330	554	518
12	Arawa	FOOT	otamá	otamá	o t a m á	o t a m á	47	47	FOOT				7 1 7 4 7	XBYBZ	UTAMA	1	1.U.V 1.T.C 1.A.V 1.M.C 1.A.V	1.5 1.75 1.3 1.75 0.8	otamá	0	625	586	519	331	555	519
