# Wordlist

# DATA
ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	COGID	COGIDS
40	Banawa	BLOOD	ame	ame	a m e	BLOOD	206	206
314	Deni	BLOOD	ama	ama	a m a	BLOOD	206	206
647	Jamamadi	BLOOD	ame	ame	a m e	BLOOD	206	206
924	Jarawara	BLOOD	ame	ame	a m e	BLOOD	206	206
1291	Kulina	BLOOD	ama	ama	a m a	BLOOD	206	206
1845	Sorowaha	BLOOD	amɨ	amɨ	a m aː	BLOOD	206	206
#
191	Banawa	BLOW (WITH MOUTH)	aɸo	aɸo	a ɸ o	BLOW	61	61
221	Banawa	BLOW (WITH MOUTH)	karabowa	karabowa	k a r a b o w a	BLOWGUN	104	104
524	Deni	BLOW (WITH MOUTH)	hapho	hapho	h a p h o	BLOW	61	61
556	Deni	BLOW (WITH MOUTH)	karibaha	karibaha	k a r i b a h a	BLOWGUN	104	104
799	Jamamadi	BLOW (WITH MOUTH)	aɸo	aɸo	a ɸ o	BLOW	61	61
829	Jamamadi	BLOW (WITH MOUTH)	karabowa	karabowa	k a r a b o w a	BLOWGUN	104	104
1149	Jarawara	BLOW (WITH MOUTH)	aɸo	aɸo	a ɸ o	BLOW	61	61
1182	Jarawara	BLOW (WITH MOUTH)	karabowa	karabowa	k a r a b o w a	BLOWGUN	104	104
1460	Kulina	BLOW (WITH MOUTH)	tomi / hapʰo	tomi	t o m i	BLOW	1290	1290
1545	Kulina	BLOW (WITH MOUTH)	tomi / hapʰo	hapʰo	h a pʰ o	BLOW	61	61
1576	Kulina	BLOW (WITH MOUTH)	kaɾibɛhɛ	kaɾibɛhɛ	k a ɾ i b ɛ h ɛ	BLOWGUN	104	104
1953	Sorowaha	BLOW (WITH MOUTH)	kaɾokoba	kaɾokoba	k a ɾ o k o b a	BLOWGUN	104	104
10041	Sorowaha	BLOW (WITH MOUTH)	ahuka	ahuka	a h u k a	BLOW	661	619
#
925	Jarawara	BONE	tone	tone	t o n e	BONE	191	191
2007	Sorowaha	BONE	atona	atona	a t o n a	BONE	191	191
8000	Banawa	BONE	tone	tone	t o n e	BONE	191	191
8001	Deni	BONE	tone	tone	t o n e	BONE	191	191
8002	Jamamadi	BONE	tone	tone	t o n e	BONE	191	191
8004	Kulina	BONE	tona	tona	t o n a	BONE	191	191
#
248	Banawa	BOX	wije	wije	w i j e	CONTAINER	366	500
856	Jamamadi	BOX	wije	wije	w i j e	CONTAINER	366	500
1216	Jarawara	BOX	wije	wije	w i j e	CONTAINER	366	500
#
41	Banawa	BRANCH	ini	ini	i n i	BRANCH	251	251
315	Deni	BRANCH	ini	ini	i n i	BRANCH	251	251
648	Jamamadi	BRANCH	ini	ini	i n i	BRANCH	251	251
926	Jarawara	BRANCH	ini	ini	i n i	BRANCH	251	251
1292	Kulina	BRANCH	ini	ini	i n i	BRANCH	251	251
1846	Sorowaha	BRANCH	ini	ini	i n i	THORN	251	251
#
42	Banawa	BREAK (DESTROY OR GET DESTROYED)	baka	baka	b a k a	BREAK	20	20
316	Deni	BREAK (DESTROY OR GET DESTROYED)	baka	baka	b a k a	BREAK	20	20
328	Deni	BREAK (DESTROY OR GET DESTROYED)	dobe	dobe	d o b e	DEMOLISH	578	565
649	Jamamadi	BREAK (DESTROY OR GET DESTROYED)	baka	baka	b a k a	BREAK	20	20
927	Jarawara	BREAK (DESTROY OR GET DESTROYED)	baka	baka	b a k a	BREAK	20	20
1854	Sorowaha	BREAK (DESTROY OR GET DESTROYED)	obo / kawaɾu / kawa	obo	o b o	DEMOLISH	578	565
10107	Sorowaha	BREAK (DESTROY OR GET DESTROYED)	obo / kawaɾu / kawa	kawaɾu	k a w a ɾ u	BREAK	732	682
10109	Sorowaha	BREAK (DESTROY OR GET DESTROYED)	obo / kawaɾu / kawa	kawa	k a w a	BREAK	732	682
#
43	Banawa	BREAST	johari	johari	j o h a r i	BREAST	262	262
317	Deni	BREAST	johori	johori	j o h o r i	BREAST	262	262
650	Jamamadi	BREAST	johari	johari	j o h a r i	BREAST	262	262
928	Jarawara	BREAST	johari	johari	j o h a r i	BREAST	262	262
1293	Kulina	BREAST	bakʰo / johoɾi	bakʰo	b a kʰ o	CHEST	515	21
1294	Kulina	BREAST	bakʰo / johoɾi	johoɾi	j o h o ɾ i	BREAST	262	262
1847	Sorowaha	BREAST	joho	joho	j o h o	BREAST	262	262
#
192	Banawa	BREATHE	hasi	hasi	h a s i	BREATHE	62	62
525	Deni	BREATHE	hatsʰi	hatsʰi	h a tsʰ i	BREATHE	62	62
800	Jamamadi	BREATHE	hasi	hasi	h a s i	BREATHE	62	62
1150	Jarawara	BREATHE	hasi	hasi	h a s i	BREATHE	62	62
1546	Kulina	BREATHE	hatsʰi	hatsʰi	h a tsʰ i	BREATHE	62	62
1940	Sorowaha	BREATHE	hasa	hasa	h a s a	BREATHE	62	62
#
5142	Sorowaha	BRIGHT	kaɾaɾa / asiika	kaɾaɾa	k a ɾ a ɾ a	BRIGHT	1294	1294
10055	Sorowaha	BRIGHT	kaɾaɾa / asiika	asiika	a s iː kʲ a	BRIGHT	680	634
#
10026	Sorowaha	BRING	aga	aga	a g a	TAKE	646	606
#
5065	Kulina	BROTHER-IN-LAW (OF MAN)	wabo	wabo	w a b o	BROTHER-IN-LAW	193	193
5066	Deni	BROTHER-IN-LAW (OF MAN)	wabo	wabo	w a b o	BROTHER-IN-LAW	193	193
5067	Jarawara	BROTHER-IN-LAW (OF MAN)	wabo	wabo	w a b o	BROTHER-IN-LAW	193	193
5068	Banawa	BROTHER-IN-LAW (OF MAN)	wabo	wabo	w a b o	BROTHER-IN-LAW	193	193
5069	Jamamadi	BROTHER-IN-LAW (OF MAN)	wabo	wabo	w a b o	BROTHER-IN-LAW	193	193
#
148	Banawa	BURN	sari	sari	s a r i	BURN	1291	1291
464	Deni	BURN	saro	saro	s a r o	BURN	1291	1291
753	Jamamadi	BURN	sari	sari	s a r i	BURN	1291	1291
1088	Jarawara	BURN	sari	sari	s a r i	BURN	1291	1291
1461	Kulina	BURN	bot̪ʰa	bot̪ʰa	b o t̪ʰ a	BURN	1292	1292
5029	Sorowaha	BURN	tʲɛhɛ / kaʃuuhu	tʲɛhɛ	tʲ ɛ h ɛ	BURN	1293	1293
10118	Sorowaha	BURN	tʲɛhɛ / kaʃuuhu	kaʃuuhu	k a ʃ uː h u	BURN	740	702
#
33	Banawa	BURN (INJURY)	hati	hati	h a t i	BE.BURNT	326	326
913	Jarawara	BURN (INJURY)	hati	hati	h a t i	BE.BURNT	326	326
#
551	Deni	BUTTERFLY	makoko	makoko	m a k o k o	BUTTTERFLY	99	99
1573	Kulina	BUTTERFLY	makoko	makoko	m a k o k o	BUTTTERFLY	99	99
#
215	Banawa	BUTTOCKS	joti / mate	joti	j o t i	BUTTOCKS	95	95
255	Banawa	BUTTOCKS	joti / mate	mate	m a t e	BUTTOCKS	133	133
547	Deni	BUTTOCKS	joto / mata	joto	j o t o	BUTTOCKS	95	95
595	Deni	BUTTOCKS	joto / mata	mata	m a t a	BUTTOCKS	133	133
823	Jamamadi	BUTTOCKS	joti / mate	joti	j o t i	BUTTOCKS	95	95
863	Jamamadi	BUTTOCKS	joti / mate	mate	m a t e	BUTTOCKS	133	133
1176	Jarawara	BUTTOCKS	joti / mate	joti	j o t i	BUTTOCKS	95	95
1225	Jarawara	BUTTOCKS	joti / mate	mate	m a t e	BUTTOCKS	133	133
1570	Kulina	BUTTOCKS	joto / mata	joto	j o t o	BUTTOCKS	95	95
1604	Kulina	BUTTOCKS	joto / mata	mata	m a t a	BUTTOCKS	133	133
1974	Sorowaha	BUTTOCKS	mate	mate	m a t e	BUTTOCKS	133	133
#
5053	Sorowaha	CAIMAN	una	una	u n a	CAIMAN	393	373
10004	Jarawara	CAIMAN	ona	ona	o n a	CAIMAN	393	373
10005	Kulina	CAIMAN	wama	wama	w a m a	CAIMAN	128	128
#
10073	Sorowaha	CALM	sumawaɾi	sumawaɾi	s u m a w a ɾ i	CALM	706	648
#
5174	Sorowaha	CANOE	hiini	hiini	h iː n i	CANOE	1295	1295
#
44	Banawa	CAPUCHIN MONKEY	jowi	jowi	j o w i	CAPUCHIN.MONKEY	263	263
224	Banawa	CAPUCHIN MONKEY	kiso	kiso	k i s o	CAPUCHIN.MONKEY	108	108
318	Deni	CAPUCHIN MONKEY	jowihi	jowihi	j o w i h i	CAPUCHIN.MONKEY	263	263
651	Jamamadi	CAPUCHIN MONKEY	jowihi	jowihi	j o w i h i	CAPUCHIN.MONKEY	263	263
832	Jamamadi	CAPUCHIN MONKEY	kiso	kiso	k i s o	CAPUCHIN.MONKEY	108	108
929	Jarawara	CAPUCHIN MONKEY	jowi	jowi	j o w i	CAPUCHIN.MONKEY	263	263
1186	Jarawara	CAPUCHIN MONKEY	kiso	kiso	k i s o	CAPUCHIN.MONKEY	108	108
1295	Kulina	CAPUCHIN MONKEY	jowihi	jowihi	j o w i h i	CAPUCHIN.MONKEY	263	263
1848	Sorowaha	CAPUCHIN MONKEY	jowi	jowi	j o w i	CAPUCHIN.MONKEY	263	263
1957	Sorowaha	CAPUCHIN MONKEY	kiso	kiso	k i s o	CAPUCHIN.MONKEY	108	108
#
5025	Sorowaha	CAPYBARA	hiiɾi	hiiɾi	h iː ɾ i	CAPYBARA	1296	1296
#
46	Banawa	CASHEW	ajawa	ajawa	a j a w a	CASHEW	205	205
653	Jamamadi	CASHEW	winika	winika	w i n i k a	CASHEW	516	502
931	Jarawara	CASHEW	ajawa / winika	ajawa	a j a w a	CASHEW	205	205
932	Jarawara	CASHEW	ajawa / winika	winika	w i n i k a	CASHEW	516	502
1849	Sorowaha	CASHEW	ajowa / inika / azuwa	ajowa	a j o w a	CASHEW	205	205
1850	Sorowaha	CASHEW	ajowa / inika / azuwa	inika	i n i k a	CASHEW	516	502
5156	Sorowaha	CASHEW	ajowa / inika / azuwa	azuwa	a z u w a	CASHEW	205	205
#
47	Banawa	CATCH	wata	wata	w a t a	CATCH	235	235
654	Jamamadi	CATCH	wata	wata	w a t a	CATCH	235	235
933	Jarawara	CATCH	wata	wata	w a t a	CATCH	235	235
1851	Sorowaha	CATCH	gata	gata	g a t a	CATCH	235	235
#
1222	Jarawara	CATERPILLAR	wakari	wakari	w a k a r i	unknown16	394	700
10013	Sorowaha	CATERPILLAR	zaamakusa	zaamakusa	z aː m a + k u s a	THING ?	634	341 600
#
138	Banawa	CATFISH	bahama	bahama	b a h a m a	SURUBIM.FISH	215	215
742	Jamamadi	CATFISH	bahama	bahama	b a h a m a	SURUBIM.FISH	215	215
1073	Jarawara	CATFISH	bahama	bahama	b a h a m a	SURUBIM.FISH	215	215
#
10128	Sorowaha	CHAMELEON	zukutu	zukutu	z u k u t u	CHAMELEON	748	710
#
48	Banawa	CHEEK	ebete	ebete	e b e t e	CHEEK	331	331
428	Deni	CHEEK	ebethe	ebethe	e b e t h e	CHEEK	598	331
655	Jamamadi	CHEEK	ebete	ebete	e b e t e	CHEEK	331	331
934	Jarawara	CHEEK	ebete	ebete	e b e t e	CHEEK	331	331
1297	Kulina	CHEEK	ɛbɛt̪ʰɛ	ɛbɛt̪ʰɛ	ɛ b ɛ t̪ʰ ɛ	CHEEK	331	331
#
49	Banawa	CHEST	baki	baki	b a k i	CHEST	21	21
320	Deni	CHEST	bakho	bakho	b a kʰ o	CHEST	21	21
656	Jamamadi	CHEST	baki	baki	b a k i	CHEST	21	21
