ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	COGID	COGIDS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	SCAIDS	LEXSTATIDS
10050	Sorowaha	DARK	asa	asa	aː sʲ a	DARK	675	627	7 3 7	XBZ	ASA	7	7.A.V 7.S.C 7.A.V	1.5 1.75 0.8	aːsʲa	0	619	619
5034	Sorowaha	DAUGHTER	ahiḍini / zamuuni	ahiḍini	a h i ḍ i n i	OFFSPRING	442	425	7 3 7 1 7 4 7	XBYBYBZ	AHITINI	7	7.A.V 7.H.C 7.I.V 7.T.C 7.I.V 7.N.C 7.I.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8	ahiḍini	0	622	622
8010	Banawa	DAUGHTER	to	to	t o	DAUGHTER	188	188	1 7	AX	TU	1	1.T.C 1.U.V	2.0 1.5	to	0	621	621
8011	Deni	DAUGHTER	to	to	t o	DAUGHTER	188	188	1 7	AX	TU	2	2.T.C 2.U.V	2.0 1.5	to	0	621	621
8012	Jamamadi	DAUGHTER	to	to	t o	DAUGHTER	188	188	1 7	AX	TU	3	3.T.C 3.U.V	2.0 1.5	to	0	621	621
8013	Jarawara	DAUGHTER	to	to	t o	DAUGHTER	188	188	1 7	AX	TU	4	4.T.C 4.U.V	2.0 1.5	to	0	621	621
10096	Sorowaha	DAUGHTER	ahiḍini / zamuuni	zamuuni	z a m uː n i	DAUGHTER	726	675	3 7 4 7 4 7	AXBYBZ	SAMYNI	7	7.S.C 7.A.V 7.M.C 7.Y.V 7.N.C 7.I.V	2.0 1.5 1.75 1.3 1.75 0.8	zamuːni	0	622	623
326	Deni	DAY (NOT NIGHT)	vada	vada	v a d a	DAY	576	563	3 7 1 7	AXBZ	BATA	2	2.B.C 2.A.V 2.T.C 2.A.V	2.0 1.5 1.75 0.8	vada	0	628	628
941	Jarawara	DAY (NOT NIGHT)	jia	jia	j i a	DAY	577	564	6 7 7	AXZ	JIA	4	4.J.C 4.I.V 4.A.V	2.0 1.5 0.8	jia	0	629	629
10182	Paumari	DAY (NOT NIGHT)	mahi	mahi	m a h i	DAY	779	741	4 7 3 7	AXBZ	MAHI	6	6.M.C 6.A.V 6.H.C 6.I.V	2.0 1.5 1.75 0.8	mahi	1	630	630
10064	Sorowaha	DEEP	kuwaɾu	kuwaɾu	k u w a ɾ u	DEEP	690	639	1 7 6 7 5 7	AXBYBZ	KYWARY	7	7.K.C 7.Y.V 7.W.C 7.A.V 7.R.C 7.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	kuwaɾu	0	632	632
53	Banawa	DEER	badoe	badoe	b a d o e	DEER	214	214	1 7 1 7 7	AXBYZ	PATUE	1	1.P.C 1.A.V 1.T.C 1.U.V 1.E.V	2.0 1.5 1.75 1.3 0.8	badoe	0	634	634
327	Deni	DEER	bado	bado	b a d o	DEER	214	214	1 7 1 7	AXBZ	PATU	2	2.P.C 2.A.V 2.T.C 2.U.V	2.0 1.5 1.75 0.8	bado	0	634	634
660	Jamamadi	DEER	bato	bato	b a t o	DEER	214	214	1 7 1 7	AXBZ	PATU	3	3.P.C 3.A.V 3.T.C 3.U.V	2.0 1.5 1.75 0.8	bato	0	634	634
942	Jarawara	DEER	bato	bato	b a t o	DEER	214	214	1 7 1 7	AXBZ	PATU	4	4.P.C 4.A.V 4.T.C 4.U.V	2.0 1.5 1.75 0.8	bato	0	634	634
1306	Kulina	DEER	bado	bado	b a d o	DEER	214	214	1 7 1 7	AXBZ	PATU	5	5.P.C 5.A.V 5.T.C 5.U.V	2.0 1.5 1.75 0.8	bado	0	634	634
5021	Sorowaha	DEER	zuumi	zuumi	z uː m i	DEER	517	504	3 7 4 7	AXBZ	SYMI	7	7.S.C 7.Y.V 7.M.C 7.I.V	2.0 1.5 1.75 0.8	zuːmi	0	635	635
1465	Kulina	DIE	dzokʰɛ	dzokʰɛ	dz o kʰ ɛ	DIE	471	456	2 7 1 7	AXBZ	CUKE	5	5.C.C 5.U.V 5.K.C 5.E.V	2.0 1.5 1.75 0.8	dzokʰɛ	0	641	641
151	Banawa	DIG	wii	wii	w i i	DIG	1133	1133	6 7 7	AXZ	WII	1	1.W.C 1.I.V 1.I.V	2.0 1.5 0.8	wii	0	643	643
467	Deni	DIG	wi	wi	w i	DIG	1133	1133	6 7	AX	WI	2	2.W.C 2.I.V	2.0 1.5	wi	0	643	643
756	Jamamadi	DIG	wii	wii	w i i	DIG	1133	1133	6 7 7	AXZ	WII	3	3.W.C 3.I.V 3.I.V	2.0 1.5 0.8	wii	0	643	643
1091	Jarawara	DIG	wii	wii	w i i	DIG	1133	1133	6 7 7	AXZ	WII	4	4.W.C 4.I.V 4.I.V	2.0 1.5 0.8	wii	0	643	643
1466	Kulina	DIG	wi	wi	w i	DIG	1133	1133	6 7	AX	WI	5	5.W.C 5.I.V	2.0 1.5	wi	0	643	643
330	Deni	DIRTY	kiri	kiri	k i r i	DIRTY	580	567	1 7 5 7	AXBZ	KIRI	2	2.K.C 2.I.V 2.R.C 2.I.V	2.0 1.5 1.75 0.8	kiri	0	649	649
944	Jarawara	DIRTY	bisa / tohja	bisa	b i s a	DIRTY	14	14	1 7 3 7	AXBZ	PISA	4	4.P.C 4.I.V 4.S.C 4.A.V	2.0 1.5 1.75 0.8	bisa	0	650	650
945	Jarawara	DIRTY	bisa / tohja	tohja	t o h j a	DIRTY	392	372	1 7 3 6 7	AXBCZ	TUHJA	4	4.T.C 4.U.V 4.H.C 4.J.C 4.A.V	2.0 1.5 1.75 1.5 0.8	tohja	0	652	653
