ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source,Segment_Slice
Deni-118_dog-1-1,Deni-118_dog-1,meze,489,false,expert,,m e z e,SCA,,1
Arawa-118_dog-1-1,Arawa-118_dog-1,dʒumajhi,90,false,expert,,dʒ u m a - j h i,SCA,,1
Amarakaeri-118_dog-1-1,Amarakaeri-118_dog-1,kuwa,858,false,expert,,k u w a,SCA,,1
Kanamari-118_dog-1-1,Kanamari-118_dog-1,wapa,901,false,expert,,w aː p a,SCA,,1
Jarawara-126_dull-1-1,Jarawara-126_dull-1,toboro,1236,false,expert,,t o b o r o,SCA,,1
Jarawara-127_dust-1-1,Jarawara-127_dust-1,hobokori,1237,false,expert,,h o b o k o r i,SCA,,1
Paumari-127_dust-1-1,Paumari-127_dust-1,χoma,743,false,expert,,χ o m a,SCA,,1
Jarawara-164_fog-1-1,Jarawara-164_fog-1,hote,1259,false,expert,,h o t e,SCA,,1
Paumari-164_fog-1-1,Paumari-164_fog-1,maro,756,false,expert,,m a r o,SCA,,1
Paumari-164_fog-2-1,Paumari-164_fog-2,magimagi,757,false,expert,,m a g i,SCA,,1
Paumari-164_fog-2-2,Paumari-164_fog-2,magimagi,757,false,expert,,,SCA,,2
Deni-164_fog-1-1,Deni-164_fog-1,aʃivani,740,false,expert,,a ʃ i v a n i,SCA,,1
Jarawara-176_full-1-1,Jarawara-176_full-1,moo,1264,false,expert,,m oː,SCA,,1
Sorowaha-176_full-1-1,Sorowaha-176_full-1,habuku,758,false,expert,,h a b u k u,SCA,,1
Sorowaha-176_full-2-1,Sorowaha-176_full-2,harunaru,759,false,expert,,h a r u n a r u,SCA,,1
Paumari-176_full-1-1,Paumari-176_full-1,dʒiʔbiniki,761,false,expert,,dʒ i ʔ b i n i k i,SCA,,1
Paumari-176_full-2-1,Paumari-176_full-2,daiki,760,false,expert,,d ai k i,SCA,,1
Arawa-176_full-1-1,Arawa-176_full-1,tɨidi,797,false,expert,,t ɨi d i,SCA,,1
Jarawara-200_he-1-1,Jarawara-200_he-1,he,487,false,expert,,h e,SCA,,1
Kulina-200_he-1-1,Kulina-200_he-1,powa,488,false,expert,,p o w a,SCA,,1
Jarawara-222_i-1-1,Jarawara-222_i-1,owa,340,false,expert,,o w a,SCA,,1
Kulina-222_i-1-1,Kulina-222_i-1,owa,340,false,expert,,o w a,SCA,,1
Sorowaha-222_i-1-1,Sorowaha-222_i-1,aɾu,486,false,expert,,a ɾ u,SCA,,1
Amarakaeri-222_i-1-1,Amarakaeri-222_i-1,ndoʔ,847,false,expert,,n d o ʔ,SCA,,1
Jarawara-223_ice-1-1,Jarawara-223_ice-1,selo,1273,false,expert,,s e l o,SCA,,1
Jarawara-224_if-1-1,Jarawara-224_if-1,ya,485,false,expert,,y a,SCA,,1
Jarawara-273_many-1-1,Jarawara-273_many-1,tamabote,480,false,expert,,t a m a b o t e,SCA,,1
Kulina-273_many-1-1,Kulina-273_many-1,badzima,482,false,expert,,b a dz i m a,SCA,,1
Kulina-273_many-2-1,Kulina-273_many-2,wapima,483,false,expert,,w a p i m a,SCA,,1
Kulina-273_many-3-1,Kulina-273_many-3,tsibɛma,484,false,expert,,ts i b ɛ m a,SCA,,1
Sorowaha-273_many-1-1,Sorowaha-273_many-1,aamasa,398,false,expert,,aː m a s a,SCA,,1
Deni-273_many-1-1,Deni-273_many-1,hirahiranaɸiriʔa,782,false,expert,,h i r a h i r a n a ɸ i r i ʔ a,SCA,,1
Jarawara-387_salt-1-1,Jarawara-387_salt-1,saha,478,false,expert,,s a h a,SCA,,1
Kulina-387_salt-1-1,Kulina-387_salt-1,tsao,479,false,expert,,ts a o,SCA,,1
Paumari-387_salt-1-1,Paumari-387_salt-1,jokira,895,false,expert,,j o k i r a,SCA,,1
Deni-387_salt-1-1,Deni-387_salt-1,dzokira,895,false,expert,,dz o k i r a,SCA,,1
Jarawara-196_happy-1-1,Jarawara-196_happy-1,akara,1005,false,expert,,a k a r a,SCA,,1
Kulina-196_happy-1-1,Kulina-196_happy-1,akʰaɾa,1005,false,expert,,a kʰ a ɾ a,SCA,,1
Paumari-196_happy-1-1,Paumari-196_happy-1,akhari,1005,false,expert,,a kʰ a r i,SCA,,1
ProtoArawan-196_happy-1-1,ProtoArawan-196_happy-1,akʰari,1005,false,expert,,a kʰ a r i,SCA,,1
Jarawara-395_sea-1-1,Jarawara-395_sea-1,maa,477,false,expert,,m aː,SCA,,1
Jarawara-399_seed-1-1,Jarawara-399_seed-1,noki,476,false,expert,,n o k i,SCA,,1
Sorowaha-399_seed-1-1,Sorowaha-399_seed-1,ad̥uhiɾi,604,false,expert,,a d̥ u h i ɾ i,SCA,,1
Jarawara-403_sharp-1-1,Jarawara-403_sharp-1,ino,475,false,expert,,i n o,SCA,,1
Sorowaha-403_sharp-1-1,Sorowaha-403_sharp-1,zuma,709,false,expert,,z u m a,SCA,,1
Jarawara-416_skin-1-1,Jarawara-416_skin-1,atari,208,false,expert,,- a t a r i,SCA,,1
Kulina-416_skin-1-1,Kulina-416_skin-1,wapi,473,false,expert,,w a p i,SCA,,1
Paumari-416_skin-1-1,Paumari-416_skin-1,asaɸi,207,false,expert,,- a s a ɸ i,SCA,,1
Sorowaha-416_skin-1-1,Sorowaha-416_skin-1,asihi,207,false,expert,,- a s i h i,SCA,,1
Katawishi-416_skin-1-1,Katawishi-416_skin-1,borahe,822,false,expert,,b o r a,SCA,,1
ProtoArawan-416_skin-1-1,ProtoArawan-416_skin-1,asiphi,207,false,expert,,- a s i pʰ i,SCA,,1
Jarawara-418_sky-1-1,Jarawara-418_sky-1,neme,1001,false,expert,,n e m e,SCA,,1
Kulina-418_sky-1-1,Kulina-418_sky-1,mɛmɛ,1001,false,expert,,m ɛ m ɛ,SCA,,1
ProtoArawan-418_sky-1-1,ProtoArawan-418_sky-1,neme,1001,false,expert,,n e m e,SCA,,1
Jarawara-479_there-1-1,Jarawara-479_there-1,ɸa,472,false,expert,,ɸ a,SCA,,1
Jarawara-480_they-1-1,Jarawara-480_they-1,me,471,false,expert,,m e,SCA,,1
Kulina-480_they-1-1,Kulina-480_they-1,powa,470,false,expert,,p o w a,SCA,,1
Amarakaeri-480_they-1-1,Amarakaeri-480_they-1,ken,850,false,expert,,k e n,SCA,,1
