ID,Name,Concepticon_ID,Concepticon_Gloss,Number,Semantic_Field
306_man,MAN,1554,MAN,,KINSHIP
307_manatee,MANATEE,,,,
308_mandi,MANDI,,,,
309_manioc,MANIOC,927,MANIOC,,AGRICULTURE_AND_VEGETATION
310_many,MANY,1198,MANY,,QUANTITY
311_mark,MARK,,,,
312_marmoset,MARMOSET,,,,
313_master,MASTER,383,MASTER,,SOCIAL_AND_POLITICAL_RELATIONS
314_maternalunclemothersbrother,MATERNAL UNCLE (MOTHER'S BROTHER),2692,MATERNAL UNCLE (MOTHER'S BROTHER),,KINSHIP
315_measure,MEASURE,1506,MEASURE,,SPATIAL_RELATIONS
316_medicine,MEDICINE,1372,MEDICINE,,THE_BODY
318_meet,MEET,1831,MEET,,SOCIAL_AND_POLITICAL_RELATIONS
319_message,MESSAGE,2961,MESSAGE,,SPEECH_AND_LANGUAGE
320_middle,MIDDLE,1093,MIDDLE,,SPATIAL_RELATIONS
321_milk,MILK,635,MILK,,FOOD_AND_DRINK
322_mirror,MIRROR,1171,MIRROR,,CLOTHING_AND_GROOMING
323_mix,MIX,2017,MIX,,FOOD_AND_DRINK
324_moan,MOAN,,,,
325_monkey,MONKEY,1350,MONKEY,,ANIMALS
326_month,MONTH,1370,MONTH,,TIME
327_moon,MOON,1313,MOON,,THE_PHYSICAL_WORLD
328_mortar,MORTAR,224,MORTAR,,FOOD_AND_DRINK
329_mosquito,MOSQUITO,1509,MOSQUITO,,ANIMALS
330_motmotbird,MOT-MOT (BIRD),,,,ANIMALS
331_moth,MOTH,2828,MOTH,,ANIMALS
332_mother,MOTHER,1216,MOTHER,,KINSHIP
333_mountainorhill,MOUNTAIN OR HILL,2118,MOUNTAIN OR HILL,,THE_PHYSICAL_WORLD
334_mouth,MOUTH,674,MOUTH,,THE_BODY
335_mud,MUD,640,MUD,,THE_PHYSICAL_WORLD
336_mudhole,MUD HOLE,,,,
337_naked,NAKED,590,NAKED,,THE_BODY
338_name,NAME,1405,NAME,,SPEECH_AND_LANGUAGE
339_navel,NAVEL,1838,NAVEL,,THE_BODY
340_near,NEAR,1942,NEAR,,SPATIAL_RELATIONS
341_neck,NECK,1333,NECK,,THE_BODY
342_necklace,NECKLACE,1961,NECKLACE,,CLOTHING_AND_GROOMING
343_nerve,NERVE,2626,NERVE,,THE_BODY
344_net,NET,2963,NET,,BASIC_ACTIONS_AND_TECHNOLOGY
345_new,NEW,1231,NEW,,TIME
346_night,NIGHT,1233,NIGHT,,TIME
347_nightmonkey,NIGHT MONKEY,,,,ANIMALS
348_nighthawk,NIGHTHAWK,,,,
349_nose,NOSE,1221,NOSE,,THE_BODY
350_now,NOW,1376,NOW,,TIME
351_oar,OAR,3137,OAR,,BASIC_ACTIONS_AND_TECHNOLOGY
352_odorsmell,ODOR (SMELL),3704,ODOR (SMELL),,SENSE_PERCEPTION
353_old,OLD,1229,OLD,,TIME
354_olderbrother,OLDER BROTHER,1759,OLDER BROTHER,,KINSHIP
355_olderbrotherofwoman,OLDER BROTHER (OF WOMAN),2415,OLDER BROTHER (OF WOMAN),,KINSHIP
356_oldersister,OLDER SISTER,1758,OLDER SISTER,,KINSHIP
357_olingogenusbassaricyon,OLINGO (genus Bassaricyon),,,,
358_one,ONE,1493,ONE,,QUANTITY
359_opossum,OPOSSUM,309,OPOSSUM,,ANIMALS
360_order,ORDER,1128,ORDER,,BASIC_ACTIONS_AND_TECHNOLOGY
361_oriole,ORIOLE,,,,
362_otter,OTTER,15,OTTER,,ANIMALS
363_owl,OWL,735,OWL,,ANIMALS
364_owner,OWNER,1036,OWNER,,POSSESSION
365_paca,PACA,316,PACA,,ANIMALS
366_pacu,PACU,3922,PACU,,ANIMALS
367_paddle,PADDLE,234,PADDLE,,BASIC_ACTIONS_AND_TECHNOLOGY
368_pain,PAIN,1783,PAIN,,EMOTIONS_AND_VALUES
369_pajura,PAJURÁ,,,,AGRICULTURE_AND_VEGETATION
370_palmspecieswiththorns,PALM SPECIES WITH THORNS,,,,AGRICULTURE_AND_VEGETATION
371_palmtree,PALM TREE,1181,PALM TREE,,AGRICULTURE_AND_VEGETATION
372_pan,PAN,31,PAN,,FOOD_AND_DRINK
373_papaya,PAPAYA,2445,PAPAYA,,FOOD_AND_DRINK
374_parrot,PARROT,882,PARROT,,ANIMALS
375_passionfruit,PASSION FRUIT,,,,
376_patauapalm,PATAUÁ PALM,,,,AGRICULTURE_AND_VEGETATION
377_paternalauntfatherssister,PATERNAL AUNT (FATHER'S SISTER),2691,PATERNAL AUNT (FATHER'S SISTER),,KINSHIP
378_paternalunclefathersbrother,PATERNAL UNCLE (FATHER'S BROTHER),1985,PATERNAL UNCLE (FATHER'S BROTHER),,KINSHIP
379_pathorroad,PATH OR ROAD,2457,PATH OR ROAD,,MOTION
380_pattern,PATTERN,2988,PATTERN,,THE_PHYSICAL_WORLD
381_paumulato,PAU-MULATO,,,,
383_paxiubagenusirartea,PAXIUBA (genus Irartea),,,,
384_paxiubabarriguda,PAXIUBA-BARRIGUDA,,,,
385_peachpalm,PEACH PALM,3919,PEACH PALM,,AGRICULTURE_AND_VEGETATION
387_peel,PEEL,275,PEEL,,FOOD_AND_DRINK
388_penis,PENIS,1222,PENIS,,THE_BODY
389_pepper,PEPPER,1385,PEPPER,,FOOD_AND_DRINK
391_pestle,PESTLE,225,PESTLE,,FOOD_AND_DRINK
392_piau,PIAU,,,,
393_pick,PICK,,,,
394_pickup,PICK UP,371,PICK UP,,SPATIAL_RELATIONS
395_piece,PIECE,594,PIECE,,QUANTITY
396_piedcrestedoropendola,PIED-CRESTED OROPENDOLA,,,,
397_pierce,PIERCE,398,PIERCE,,BASIC_ACTIONS_AND_TECHNOLOGY
398_pineapple,PINEAPPLE,2440,PINEAPPLE,,AGRICULTURE_AND_VEGETATION
399_piranha,PIRANHA,317,PIRANHA,,ANIMALS
400_pirarucu,PIRARUCU,,,,
401_piss,PISS,592,PISS,,THE_BODY
402_piumsimuliidae,PIUM (simuliidae),3937,PIUM (simuliidae),,ANIMALS
403_placeposition,PLACE (POSITION),723,PLACE (POSITION),,SPATIAL_RELATIONS
404_play,PLAY,1413,PLAY,,EMOTIONS_AND_VALUES
405_poison,POISON,655,POISON,,THE_BODY
406_polishsomething,POLISH (SOMETHING),3659,POLISH (SOMETHING),,BASIC_ACTIONS_AND_TECHNOLOGY
407_porcupine,PORCUPINE,2510,PORCUPINE,,ANIMALS
408_pot,POT,1462,POT,,FOOD_AND_DRINK
409_poundtoflatten,POUND TO FLATTEN,,,,
410_precious,PRECIOUS,3002,PRECIOUS,,EMOTIONS_AND_VALUES
411_pregnant,PREGNANT,1123,PREGNANT,,THE_BODY
412_pretend,PRETEND,3631,PRETEND,,COGNITION
413_procreate,PROCREATE,,,,
414_pull,PULL,1455,PULL,,BASIC_ACTIONS_AND_TECHNOLOGY
415_pulloffskin,PULL OFF (SKIN),291,PULL OFF (SKIN),,BASIC_ACTIONS_AND_TECHNOLOGY
416_pullout,PULL OUT,2325,PULL OUT,,BASIC_ACTIONS_AND_TECHNOLOGY
417_puma,PUMA,1891,PUMA,,ANIMALS
418_pumpkin,PUMPKIN,864,PUMPKIN,,AGRICULTURE_AND_VEGETATION
419_purplebanana,PURPLE BANANA,,,,
420_push,PUSH,1452,PUSH,,MOTION
421_put,PUT,998,PUT,,SPATIAL_RELATIONS
422_rainprecipitation,RAIN (PRECIPITATION),658,RAIN (PRECIPITATION),,THE_PHYSICAL_WORLD
423_rainbow,RAINBOW,1733,RAINBOW,,THE_PHYSICAL_WORLD
424_rat,RAT,1490,RAT,,ANIMALS
425_red,RED,156,RED,,SENSE_PERCEPTION
426_redandgreenmacawarachloropterus,RED-AND-GREEN MACAW (Ara chloropterus),3938,RED-AND-GREEN MACAW (Ara chloropterus),,ANIMALS
427_resin,RESIN,664,RESIN,,THE_PHYSICAL_WORLD
428_ripe,RIPE,178,RIPE,,FOOD_AND_DRINK
429_river,RIVER,666,RIVER,,THE_PHYSICAL_WORLD
430_roastorfry,ROAST OR FRY,2146,ROAST OR FRY,,FOOD_AND_DRINK
431_roll,ROLL,827,ROLL,,MOTION
432_rooster,ROOSTER,1511,ROOSTER,,ANIMALS
433_root,ROOT,670,ROOT,,AGRICULTURE_AND_VEGETATION
434_rope,ROPE,1218,ROPE,,BASIC_ACTIONS_AND_TECHNOLOGY
