ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Morphemes,SimpleCognate,PartialCognates
Amarakaeri-523_shitdefecate-1,,Amarakaeri,523_shitdefecate,ndoʔ,ndoʔ,n/d o ʔ,,adelaar2000propuesta;van2014argument;vanlinden2019harakmbut;van2019nominalization;van2020construction;van2016classifier;tripp1995diccionario;chávez1984skizze,,,,,DEFECATE,998,957
Banawa-523_shitdefecate-1,,Banawa,523_shitdefecate,mii,mii,m iː,,ladefoged1997phonetic,,,,,DEFECATE,1205,1171
Jamamadi-523_shitdefecate-1,,Jamamadi,523_shitdefecate,mii,mii,m iː,,campbell1992jamamadi;dixon2004proto;dixon2004adjective,,,,,DEFECATE,1205,1171
Jarawara-523_shitdefecate-1,,Jarawara,523_shitdefecate,mii,mii,m iː,,dixon2004proto;dixon1995fusional;vogel2021typology;dixon2004jarawara,,,,,DEFECATE,1205,1171
Kulina-523_shitdefecate-1,,Kulina,523_shitdefecate,mihi,mihi,m i h i,,dixon2004proto;monserrat1986gramatica;dienst2014grammar,,,,,DEFECATE,1205,1171
Arasairi-523_shitdefecate-1,,Arasairi,523_shitdefecate,emando,emando,e m a n/d o,,aza1933arasairi,,,,,DEFECATE,998,957
Deni-583_stretchoutlegs-1,,Deni,583_stretchoutlegs,bitsʰo,bitsʰo,b i tsʰ o,,dixon2004proto;carvalho2013analise;carvalho2013fonologia;carvalho2013sobrefonologia;carvalho2018adjective;koop1985dicionario,,,,,STRETCH.OUT.LEGS,696,696
Kulina-583_stretchoutlegs-1,,Kulina,583_stretchoutlegs,bitsʰo,bitsʰo,b i tsʰ o,,dixon2004proto;monserrat1986gramatica;dienst2014grammar,,,,,STRETCH.OUT.LEGS,696,696
Paumari-583_stretchoutlegs-1,,Paumari,583_stretchoutlegs,ɓisoni,ɓisoni,ɓ i s o n i,,dixon2004proto;chapman1998dicionario,,,,,STRETCH.OUT.LEGS,696,696
ProtoArawan-583_stretchoutlegs-1,,ProtoArawan,583_stretchoutlegs,ɓishoni,ɓishoni,ɓ i tsʰ o n i,,dixon2004proto,,,,,STRETCH.OUT.LEGS,696,696
Deni-596_swell-1,,Deni,596_swell,hapho,hapho,h a p h o,,dixon2004proto;carvalho2013analise;carvalho2013fonologia;carvalho2013sobrefonologia;carvalho2018adjective;koop1985dicionario,,,,,SWELL,601,586
Jarawara-596_swell-1,,Jarawara,596_swell,ɸowa,ɸowa,ɸ o w a,,dixon2004proto;dixon1995fusional;vogel2021typology;dixon2004jarawara,,,,,SWELL,316,316
Kulina-596_swell-1,,Kulina,596_swell,hitɛ,hitɛ,h i t̪ ɛ,,dixon2004proto;monserrat1986gramatica;dienst2014grammar,,,,,SWELL,600,585
Paumari-596_swell-1,,Paumari,596_swell,rafo,rafo,r a f o,,dixon2004proto;chapman1998dicionario,,,,,SWELL,316,316
ProtoArawan-596_swell-1,,ProtoArawan,596_swell,raphowa,raphowa,r a pʰ o w a,,dixon2004proto,,,,,SWELL,316,316
