# Wordlist

# DATA
ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	COGID	COGIDS
109	Deni	belch	de	de	d e	BELCH	0	0
110	Jarawara	belch	tee	tee	t e e	BELCH	0	0
111	Banawa	belch	dee	dee	d e e	BELCH	0	0
#
112	Deni	belly	dzaha	dzaha	d z a h a	BELLY	287	287
113	Kulina	belly	izoni	izoni	i z o n i	BELLY	287	287
114	Jarawara	belly	nabati	nabati	n a b a t i	BELLY	287	287
#
116	Kulina	below	nami	nami	n a m i	GROUND	298	298
#
117	Kulina	big	imei	imei	i m e i	BIG	0	0
118	Deni	big	putahari	putahari	p u t a h a r i	BIG	0	0
44500	Kulina	big	napi	napi	n a p i	BIG	138	138
44501	Deni	big	napi	napi	n a p i	BIG	138	138
44502	Jarawara	big	nafi	nafi	n a f i	BIG	138	138
44503	Banawa	big	nafi	nafi	n a f i	BIG	138	138
44504	Jamamadi	big	nafi	nafi	n a f i	BIG	138	138
#
119	Deni	big leaf calathea	dawi	dawi	d a w i	BIG.LEAF.CALATHEA	328	328
120	Jarawara	big leaf calathea	tawi	tawi	t a w i	BIG.LEAF.CALATHEA	328	328
121	Jamamadi	big leaf calathea	dawi	dawi	d a w i	BIG.LEAF.CALATHEA	328	328
#
123	Jarawara	bird	bani	bani	b a n i	BIRD	0	0
#
1002	Kulina	bite	kha	kha	k h a	BITE	0	0
1003	Jarawara	bite	wai	wai	w a i	BITE	0	0
1004	Deni	bite	waji	waji	w a j i	BITE	0	0
1005	Banawa	bite	waji	waji	w a j i	BITE	0	0
1006	Jamamadi	bite	waji	waji	w a j i	BITE	0	0
#
1561	Deni	biting fly	karajati	karajati	k a r a j a t i	BITING.FLY	103	103
1562	Jarawara	biting fly	karajati	karajati	k a r a j a t i	BITING.FLY	103	103
1563	Banawa	biting fly	karajati	karajati	k a r a j a t i	BITING.FLY	103	103
1564	Jamamadi	biting fly	kariti	kariti	k a r i t i	BITING.FLY	103	103
#
124	Deni	biting gnat	bitha	bitha	b i t h a	BITING.GNAT	0	343
#
125	Banawa	bitter	bida	bida	b i d a	BITTER	219	219
126	Kulina	bitter	bida	bida	b i d a	BITTER	219	219
127	Deni	bitter	bidaro	bidaro	b i d a r o	BITTER	219	219
128	Jamamadi	bitter	bidaro	bidaro	b i d a r o	BITTER	219	219
129	Jarawara	bitter	bita	bita	b i t a	BITTER	219	219
#
130	Deni	black	kiride	kiride	k i r i d e	BLACK	0	0
131	Kulina	black	sowe	sowe	s o w e	BLACK	0	0
#
132	Banawa	black-fronted nunbird	taakoro	taakoro	t a a k o r o	BLACK-FRONTED.NUNBIRD	329	329
133	Kulina	black-fronted nunbird	taikhoro	taikhoro	t a i k h o r o	BLACK-FRONTED.NUNBIRD	329	329
134	Jarawara	black-fronted nunbird	taokoro	taokoro	t a o k o r o	BLACK-FRONTED.NUNBIRD	329	329
135	Jamamadi	black-fronted nunbird	tawakoro	tawakoro	t a w a k o r o	BLACK-FRONTED.NUNBIRD	329	329
137	Deni	black-fronted nunbird	tawikoro	tawikoro	t a w i k o r o	BLACK-FRONTED.NUNBIRD	329	329
#
139	Deni	blood	ama	ama	a m a	BLOOD	206	206
140	Kulina	blood	ama	ama	a m a	BLOOD	206	206
143	Banawa	blood	ame	ame	a m e	BLOOD	206	206
144	Jamamadi	blood	ame	ame	a m e	BLOOD	206	206
145	Jarawara	blood	ame	ame	a m e	BLOOD	206	206
#
1007	Kulina	blow	tomi	tomi	t o m i	BLOW	0	0
1372	Kulina	blow	hapho	hapho	h a p h o	BLOW	61	61
1373	Deni	blow	hapho	hapho	h a p h o	BLOW	61	61
1374	Jarawara	blow	afo	afo	a f o	BLOW	61	61
1375	Banawa	blow	afo	afo	a f o	BLOW	61	61
1376	Jamamadi	blow	afo	afo	a f o	BLOW	61	61
#
1732	Deni	blowfly	khorora	khorora	k h o r o r a	BLOWFLY	124	0
1733	Jarawara	blowfly	korowiri	korowiri	k o r o w i r i	BLOWFLY	124	0
1734	Jamamadi	blowfly	korowi	korowi	k o r o w i	BLOWFLY	124	0
#
146	Jarawara	bone	tone	tone	t o n e	BONE	0	0
#
147	Banawa	branch	ini	ini	i n i	BRANCH	251	251
148	Deni	branch	ini	ini	i n i	BRANCH	251	251
149	Jamamadi	branch	ini	ini	i n i	BRANCH	251	251
150	Jarawara	branch	ini	ini	i n i	BRANCH	251	251
151	Kulina	branch	ini	ini	i n i	BRANCH	251	251
#
153	Banawa	break	baka	baka	b a k a	BREAK	20	20
154	Deni	break	baka	baka	b a k a	BREAK	20	20
155	Jamamadi	break	baka	baka	b a k a	BREAK	20	20
156	Jarawara	break	baka	baka	b a k a	BREAK	20	20
#
157	Kulina	breast	bakho	bakho / johori	b a k h o	BREAST	262	262
158	Banawa	breast	johari	johari	j o h a r i	BREAST	262	262
159	Jamamadi	breast	johari	johari	j o h a r i	BREAST	262	262
160	Jarawara	breast	johari	johari	j o h a r i	BREAST	262	262
163	Kulina	breast	johori	bakho / johori	j o h o r i	BREAST	262	262
164	Deni	breast	johori	johori	j o h o r i	BREAST	262	262
#
1378	Kulina	breathe	hashi	hashi	h a s h i	BREATHE	62	62
1379	Deni	breathe	hashi	hashi	h a s h i	BREATHE	62	62
1380	Jarawara	breathe	hasi	hasi	h a s i	BREATHE	62	62
1381	Banawa	breathe	hasi	hasi	h a s i	BREATHE	62	62
1382	Jamamadi	breathe	hasi	hasi	h a s i	BREATHE	62	62
#
1009	Jarawara	burn	sari	sari	s a r i	BURN	0	0
1010	Banawa	burn	sari	sari	s a r i	BURN	0	0
1011	Jamamadi	burn	sari	sari	s a r i	BURN	0	0
1012	Deni	burn	saro	saro	s a r o	BURN	0	0
1013	Kulina	burn	botha	botha	b o t h a	BURN	0	0
#
1545	Kulina	butterfly	makoko	makoko	m a k o k o	BUTTTERFLY	99	99
1546	Deni	butterfly	makoko	makoko	m a k o k o	BUTTTERFLY	99	99
#
1526	Kulina	buttocks	joto	joto	j o t o	BUTTOCKS	95	95
1527	Deni	buttocks	joto	joto	j o t o	BUTTOCKS	95	95
1528	Jarawara	buttocks	joti	joti	j o t i	BUTTOCKS	95	95
1529	Banawa	buttocks	joti	joti	j o t i	BUTTOCKS	95	95
1530	Jamamadi	buttocks	joti	joti	j o t i	BUTTOCKS	95	95
44471	Kulina	buttocks	mata	mata	m a t a	BUTTOCKS	133	133
